id,ID,food,Caloric Value,Protein,Carbohydrates,Fat,Sugars
1,0,eggnog,224,11.6,20.4,10.6,20.4
2,1,beer light,96,0.8,5.4,0.0,0.3
3,2,beer budweiser,12,0.1,0.9,0.0,0.0
4,3,weizenbier erdinger,220,0.0,0.0,18.0,0.0
5,4,beer light budweiser,9,0.066,0.4,0.0,0.0
6,5,beer,142,1.5,11.7,0.0,0.0
7,6,root beer,202,0.0,52.3,0.0,52.3
8,7,whiskey sour mix,26,0.051,6.3,0.072,6.3
9,8,whiskey sour,158,0.0,13.9,0.0,0.0
10,9,tequila sunrise,232,0.6,23.8,0.2,0.0
11,10,daiquiri,112,0.035,4.2,0.036,3.3
12,11,pina colada,245,0.6,32.0,2.7,31.5
13,12,whiskey,58,0.0,0.1,0.0,0.078
14,13,rum,49,0.0,0.0,0.0,0.0
15,14,vodka smirnoff,13,0.0,2.0,0.4,0.082
16,15,coffee liqueur,96,0.041,13.8,0.038,13.7
17,16,gin,53,0.0,0.0,0.0,0.0
18,17,dessert wine sweet,165,0.2,14.1,0.0,8.0
19,18,chenin blanc white wine,118,0.1,4.9,0.0,0.0
20,19,gamay red wine,115,0.1,3.5,0.0,0.0
21,20,late harvest white wine,172,0.1,20.6,0.0,0.0
22,21,gewurztraminer white wine,119,0.1,3.8,0.0,0.0
23,22,burgundy red wine,172,0.1,7.4,0.0,0.0
24,23,zinfandel red wine,129,0.1,4.2,0.0,0.0
25,24,muller thurgau white wine,112,0.1,5.2,0.0,0.0
26,25,mouvedre red wine,129,0.1,3.9,0.0,0.0
27,26,table wine,123,0.1,4.0,0.0,1.2
28,27,wine light,73,0.1,1.7,0.0,1.7
29,28,white wine,121,0.1,3.8,0.0,1.4
30,29,petite sirah red wine,125,0.1,3.9,0.0,0.0
31,30,non alcoholic wine,2,0.1,0.3,0.0,0.3
32,31,pinot noir red wine,121,0.1,3.4,0.0,0.0
33,32,pinot gris grigio white wine,122,0.1,3.0,0.0,0.0
34,33,riesling white wine,118,0.1,5.5,0.0,0.0
35,34,barbera red wine,170,0.1,5.6,0.0,0.0
36,35,lemberger red wine,118,0.1,3.6,0.0,0.0
37,36,merlot red wine,122,0.1,3.7,0.0,0.9
38,37,sangiovese red wine,126,0.1,3.9,0.0,0.0
39,38,sauvignon blanc white wine,119,0.1,3.0,0.0,0.0
40,39,syrah red wine,122,0.1,3.8,0.0,0.0
41,40,carignane red wine,370,0.4,12.0,0.0,0.0
42,41,pinot blanc white wine,119,0.1,2.9,0.0,0.0
43,42,semillon white wine,121,0.1,4.6,0.0,0.0
44,43,dessert wine dry,760,1.0,58.4,0.0,5.5
45,44,red wine,125,0.1,3.8,0.0,0.9
46,45,cabernet sauvignon red wine,166,0.1,5.2,0.0,0.0
47,46,muscat white wine,123,0.1,7.8,0.0,0.0
48,47,cooking wine,2,0.028,0.3,0.0,0.09
49,48,chardonnay white wine,168,0.1,4.3,0.0,1.9
50,49,claret red wine,122,0.1,4.4,0.0,0.0
51,50,rice sake,197,0.7,7.4,0.0,0.0
52,51,fume blanc white wine,121,0.1,3.3,0.0,0.0
53,52,cabarnet franc red wine,122,0.1,3.6,0.0,0.0
54,53,chocolate frosting,81,0.2,13.0,3.6,11.8
55,54,white sugar,19,0.0,5.0,0.0,4.9
56,55,egg substitute,115,24.0,4.8,0.0,4.8
57,56,agave syrup,21,0.025,5.3,0.081,4.7
58,57,splenda sweetener,336,0.0,91.2,0.0,80.3
59,58,vanilla extract,12,0.0,0.5,0.069,0.5
60,59,egg yolk dried,27,1.3,0.054,2.3,0.002
61,60,granulated sugar,16,0.0,4.2,0.0,4.2
62,61,baking chocolate,145,3.7,8.7,15.2,0.3
63,62,bakers yeast,18,1.4,3.1,0.3,0.0
64,63,fondant,106,0.0,26.4,0.009,25.2
65,64,brown sugar,16,0.024,4.1,0.0,4.1
66,65,white frosting dry,768,4.8,196.4,0.0,0.0
67,66,maple sugar,42,0.036,10.9,0.061,10.2
68,67,fructose sweetener,15,0.0,4.2,0.0,3.9
69,68,saccharin sweetener,360,0.9,89.1,0.0,85.2
70,69,egg white raw,17,3.6,0.2,0.063,0.2
71,70,turbinado sugar,18,0.0,4.6,0.0,4.6
72,71,vanilla frosting,1931,0.0,313.7,75.0,291.5
73,72,aspartame sweetener,365,2.2,89.1,0.0,80.7
74,73,egg raw,80,7.0,0.4,5.3,0.2
75,74,pineapple topping,860,0.3,225.8,0.3,71.4
76,75,egg white dried,26,5.8,0.3,0.087,0.0
77,76,egg yolk raw,55,2.7,0.6,4.5,0.08
78,77,baking soda,0,0.0,0.0,0.0,0.0
79,78,egg dried,30,2.4,0.047,2.2,0.05
80,79,strawberry topping,53,0.014,13.9,0.096,5.7
81,80,bakers yeast dry,13,1.6,1.6,0.3,0.0
82,81,almond paste,1040,20.4,108.5,63.0,82.3
83,82,cream of tartar,8,0.0,1.8,0.0,0.0
84,83,popover dry mix,631,17.7,120.7,7.3,0.0
85,84,egg substitute powder,126,15.7,6.2,3.7,6.2
86,85,gelatin powder,17,4.3,0.0,0.086,0.0
87,86,tapioca pearls,544,0.3,134.8,0.093,5.1
88,87,baking powder,2,0.0,1.3,0.0,0.0
89,88,egg boiled,93,7.5,0.7,6.4,0.7
90,89,millet flour,444,12.8,86.9,5.1,2.0
91,90,triticale flour,439,17.1,95.1,2.4,0.0
92,91,corn flour white,414,9.6,87.3,4.2,1.8
93,92,rice flour brown,574,11.4,120.8,4.4,1.3
94,93,sorghum flour,437,9.5,93.7,4.0,2.3
95,94,cornmeal whole grain,442,9.9,93.8,4.4,0.8
96,95,cornmeal white,581,11.2,124.7,2.7,2.5
97,96,barley flour,511,15.5,110.3,2.4,1.2
98,97,safflower seed meal,97,10.1,13.8,0.7,0.0
99,98,sesame flour,658,38.5,33.3,46.4,0.0
100,99,whole grain wheat flour,408,15.9,86.4,3.0,0.5
101,100,corn flour yellow,422,8.1,89.9,4.5,0.7
102,101,corn flour whole grain,422,8.1,89.9,4.5,0.7
103,102,cottonseed flour low fat,94,14.1,10.2,0.4,0.0
104,103,sunflower seed flour,13,1.9,1.4,0.013,0.0
105,104,sesame meal,160,4.8,7.4,13.6,0.0
106,105,acorn flour,626,9.4,68.3,37.7,0.0
107,106,rice flour white,578,9.4,126.6,2.2,0.2
108,107,sesame flour low fat,94,14.2,10.0,0.5,0.0
109,108,potato flour,571,11.0,133.0,0.5,5.6
110,109,cornmeal yellow,581,11.2,124.7,2.7,2.5
111,110,rye flour,364,10.0,78.2,1.4,0.9
112,111,arrowroot flour,457,0.4,112.8,0.1,0.0
113,112,chickpea flour,356,20.6,53.2,6.2,10.0
114,113,wheat flour,455,12.9,95.4,1.2,0.3
115,114,cornstarch,488,0.3,116.8,0.03,0.0
116,115,carob flour,13,0.3,5.3,0.061,2.9
117,116,buckwheat flour,402,15.1,84.7,3.7,3.1
118,117,pecan pie,503,6.0,63.7,27.1,0.0
119,118,apple pie,331,3.0,46.4,15.6,0.0
120,119,vanilla wafer pie crust,935,6.5,88.4,63.7,12.9
121,120,chocolate pie crust,881,11.1,117.4,40.8,47.9
122,121,apple strudel,195,2.3,29.2,8.0,18.3
123,122,chocolate snack cake,200,1.8,30.2,8.0,18.9
124,123,fruit fried pie,404,3.8,54.5,20.6,27.4
125,124,pumpkin pie,316,7.0,40.9,14.4,0.0
126,125,corn cake,35,0.7,7.5,0.2,2.1
127,126,sponge snack cake,157,1.5,26.9,4.8,15.7
128,127,danish pastry with nuts,280,4.6,29.7,16.4,16.8
129,128,chocolate cream pie,301,2.6,33.3,19.2,0.0
130,129,angel food cake,72,1.7,16.2,0.2,0.0
131,130,lemon meringue pie,362,4.8,49.7,16.4,0.0
132,131,danish pastry with cinnamon,349,4.8,46.9,16.7,0.0
133,132,cinnamon coffeecake,238,3.9,26.6,13.3,0.0
134,133,cheesecake,257,4.4,20.4,18.0,17.4
135,134,fruitcake,139,1.2,26.5,3.9,11.8
136,135,egg custard,293,14.2,31.0,12.9,31.0
137,136,mince pie,477,4.3,79.2,17.8,46.7
138,137,yellow cake with chocolate frosting,546,4.6,79.7,25.6,56.5
139,138,danish pastry with fruit,335,4.8,45.1,15.9,0.0
140,139,white cake with coconut frosting,399,4.9,70.8,11.5,64.3
141,140,danish pastry with cheese,353,5.8,28.7,24.6,0.0
142,141,graham cracker pie crust,917,9.3,117.7,45.4,33.2
143,142,blueberry pie,360,4.0,49.2,17.5,0.0
144,143,yellow cake with vanilla frosting,239,2.2,37.6,9.3,0.0
145,144,pie crust,121,1.5,10.9,8.0,0.045
146,145,chocolate cake with chocolate frosting,537,4.8,72.9,27.7,55.1
147,146,cheese coffeecake,258,5.3,33.7,11.6,0.0
148,147,vanilla cream pie,350,6.0,41.1,18.1,16.0
149,148,pineapple cake,367,4.0,58.1,13.9,0.0
150,149,peach pie,262,2.2,38.5,11.7,19.0
151,150,fruit coffeecake,156,2.6,25.8,5.1,0.0
152,151,pound cake,116,1.7,14.6,6.0,0.0
153,152,pound cake bread,215,3.9,28.2,9.6,10.0
154,153,white cake,264,4.0,42.3,9.2,26.3
155,154,coffeecake with chocolate frosting,298,4.5,48.4,9.7,0.0
156,155,popcorn cake,38,1.0,8.0,0.3,0.001
157,156,banana cream pie,3190,52.2,390.2,161.3,143.0
158,157,baked apple pie mcdonalds,91,0.9,12.3,4.4,4.9
159,158,sponge cake,187,4.6,36.4,2.7,0.0
160,159,yellow cake,245,3.6,36.0,9.9,0.0
161,160,shortcake,98,1.7,13.7,4.0,0.0
162,161,cherry pie,486,5.0,69.3,22.0,0.0
163,162,dutch apple pie,397,3.0,61.0,15.8,30.2
164,163,chocolate cake,352,5.0,50.7,14.3,0.0
165,164,marshmallow,64,0.4,16.3,0.033,11.5
166,165,sugar apple,72,1.6,18.2,0.2,0.0
167,166,toffee,67,0.1,7.8,3.9,7.6
168,167,vanilla fudge with nuts,123,0.8,21.1,3.9,20.1
169,168,peanuts chocolate coated,21,0.5,2.0,1.3,1.5
170,169,caramel with nuts chocolate coated,66,1.3,8.5,2.9,5.8
171,170,gingerbread,263,2.9,36.4,12.1,0.0
172,171,rolo nestle,24,0.009,0.2,1.0,0.078
173,172,vanilla fudge,108,0.3,23.2,1.5,22.6
174,173,halavah,328,8.7,42.3,15.1,0.0
175,174,praline,189,1.3,23.2,10.1,21.8
176,175,fruit juice bar,67,0.9,15.6,0.089,13.5
177,176,peanut brittle,138,2.1,20.2,5.4,14.5
178,177,butterscotch,21,0.079,4.8,0.2,4.3
179,178,chocolate coffee beans,155,2.1,15.6,9.4,14.4
180,179,nougat with almonds,56,0.5,12.9,0.2,11.7
181,180,carob,135,2.0,14.1,7.8,8.5
182,181,peanut butter fudge,62,0.6,12.4,1.1,11.7
183,182,sugar coated almonds,17,0.4,2.4,0.6,2.2
184,183,chocolate coated marshmallow,118,1.1,19.0,4.7,12.5
185,184,raisins chocolate coated,390,4.1,68.4,14.8,62.2
186,185,chewing gum sugarless,5,0.0,1.9,0.013,0.0
187,186,chewing gum,11,0.0,2.9,0.032,2.0
188,187,chocolate syrup,109,0.8,25.4,0.4,19.4
189,188,chocolate fudge syrup,67,0.9,12.0,1.7,6.6
190,189,m ms milk chocolate mars,207,1.8,29.9,8.9,26.7
191,190,milk chocolate with almonds,216,3.7,21.9,14.1,18.0
192,191,chocolate fudge,70,0.4,13.0,1.8,12.4
193,192,milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0
194,193,m ms peanut chocolate mars,93,1.7,10.9,4.7,9.1
195,194,dark chocolate,165,1.5,18.0,9.7,13.8
196,195,chocolate semisweet,806,7.1,107.4,50.4,91.6
197,196,after eight mints nestle,36,0.1,6.7,1.0,5.6
198,197,milk chocolate,37,0.5,4.2,2.1,3.6
199,198,white chocolate,162,1.8,17.8,9.6,17.7
200,199,chocolate,208,1.6,24.8,14.0,21.1
201,200,twix mars,146,1.4,18.8,7.2,14.0
202,201,kit kat nestle,62,0.7,7.6,3.3,6.5
203,202,snickers mars,280,4.3,35.1,13.6,28.8
